Date,Close
1/2/2014 16:00:00,3.95
1/3/2014 16:00:00,4
1/6/2014 16:00:00,4.13
1/7/2014 16:00:00,4.18
1/8/2014 16:00:00,4.18
1/9/2014 16:00:00,4.09
1/10/2014 16:00:00,4.17
1/13/2014 16:00:00,4.13
1/14/2014 16:00:00,4.3
1/15/2014 16:00:00,4.47
1/16/2014 16:00:00,4.38
1/17/2014 16:00:00,4.18
1/21/2014 16:00:00,4.17
1/22/2014 16:00:00,3.67
1/23/2014 16:00:00,3.62
1/24/2014 16:00:00,3.47
1/27/2014 16:00:00,3.41
1/28/2014 16:00:00,3.54
1/29/2014 16:00:00,3.48
1/30/2014 16:00:00,3.48
1/31/2014 16:00:00,3.43
2/3/2014 16:00:00,3.33
2/4/2014 16:00:00,3.37
2/5/2014 16:00:00,3.31
2/6/2014 16:00:00,3.41
2/7/2014 16:00:00,3.47
2/10/2014 16:00:00,3.63
2/11/2014 16:00:00,3.7
2/12/2014 16:00:00,3.69
2/13/2014 16:00:00,3.7
2/14/2014 16:00:00,3.69
2/18/2014 16:00:00,3.7
2/19/2014 16:00:00,3.72
2/20/2014 16:00:00,3.69
2/21/2014 16:00:00,3.69
2/24/2014 16:00:00,3.71
2/25/2014 16:00:00,3.69
2/26/2014 16:00:00,3.7
2/27/2014 16:00:00,3.71
2/28/2014 16:00:00,3.71
3/3/2014 16:00:00,3.67
3/4/2014 16:00:00,3.7
3/5/2014 16:00:00,3.71
3/6/2014 16:00:00,3.73
3/7/2014 16:00:00,3.95
3/10/2014 16:00:00,3.81
3/11/2014 16:00:00,3.85
3/12/2014 16:00:00,3.91
3/13/2014 16:00:00,3.86
3/14/2014 16:00:00,3.85
3/17/2014 16:00:00,3.8
3/18/2014 16:00:00,3.89
3/19/2014 16:00:00,3.98
3/20/2014 16:00:00,4.05
3/21/2014 16:00:00,4.04
3/24/2014 16:00:00,4.05
3/25/2014 16:00:00,4.05
3/26/2014 16:00:00,4.05
3/27/2014 16:00:00,3.91
3/28/2014 16:00:00,3.88
3/31/2014 16:00:00,4.01
4/1/2014 16:00:00,4.07
4/2/2014 16:00:00,4.06
4/3/2014 16:00:00,4
4/4/2014 16:00:00,4.01
4/7/2014 16:00:00,3.88
4/8/2014 16:00:00,3.99
4/9/2014 16:00:00,3.98
4/10/2014 16:00:00,3.85
4/11/2014 16:00:00,3.65
4/14/2014 16:00:00,3.71
4/15/2014 16:00:00,3.79
4/16/2014 16:00:00,3.76
4/17/2014 16:00:00,3.69
4/21/2014 16:00:00,4.12
4/22/2014 16:00:00,4.3
4/23/2014 16:00:00,4.25
4/24/2014 16:00:00,4.28
4/25/2014 16:00:00,4.05
4/28/2014 16:00:00,3.96
4/29/2014 16:00:00,4.03
4/30/2014 16:00:00,4.09
5/1/2014 16:00:00,4.2
5/2/2014 16:00:00,4.12
5/5/2014 16:00:00,4.09
5/6/2014 16:00:00,4.01
5/7/2014 16:00:00,3.97
5/8/2014 16:00:00,3.93
5/9/2014 16:00:00,3.87
5/12/2014 16:00:00,3.97
5/13/2014 16:00:00,4.03
5/14/2014 16:00:00,3.98
5/15/2014 16:00:00,3.96
5/16/2014 16:00:00,4.02
5/19/2014 16:00:00,4.09
5/20/2014 16:00:00,4.05
5/21/2014 16:00:00,4.1
5/22/2014 16:00:00,4.01
5/23/2014 16:00:00,4.02
5/27/2014 16:00:00,4.04
5/28/2014 16:00:00,4
5/29/2014 16:00:00,4.03
5/30/2014 16:00:00,4
6/2/2014 16:00:00,3.97
6/3/2014 16:00:00,3.94
6/4/2014 16:00:00,4.04
6/5/2014 16:00:00,4.08
6/6/2014 16:00:00,4.06
6/9/2014 16:00:00,4.07
6/10/2014 16:00:00,4.2
6/11/2014 16:00:00,4.29
6/12/2014 16:00:00,4.29
6/13/2014 16:00:00,4.28
6/16/2014 16:00:00,4.44
6/17/2014 16:00:00,4.47
6/18/2014 16:00:00,4.4
6/19/2014 16:00:00,4.36
6/20/2014 16:00:00,4.1
6/23/2014 16:00:00,4.01
6/24/2014 16:00:00,3.94
6/25/2014 16:00:00,3.96
6/26/2014 16:00:00,4.03
6/27/2014 16:00:00,4.11
6/30/2014 16:00:00,4.19
7/1/2014 16:00:00,4.22
7/2/2014 16:00:00,4.34
7/3/2014 16:00:00,4.24
7/7/2014 16:00:00,4.26
7/8/2014 16:00:00,4.22
7/9/2014 16:00:00,4.23
7/10/2014 16:00:00,4.29
7/11/2014 16:00:00,4.37
7/14/2014 16:00:00,4.64
7/15/2014 16:00:00,4.53
7/16/2014 16:00:00,4.66
7/17/2014 16:00:00,4.57
7/18/2014 16:00:00,3.83
7/21/2014 16:00:00,3.78
7/22/2014 16:00:00,3.8
7/23/2014 16:00:00,3.76
7/24/2014 16:00:00,3.73
