Date,Close
1/2/2014 16:00:00,18.07
1/3/2014 16:00:00,18.29
1/6/2014 16:00:00,18.08
1/7/2014 16:00:00,18.32
1/8/2014 16:00:00,18.34
1/9/2014 16:00:00,18.3
1/10/2014 16:00:00,18.18
1/13/2014 16:00:00,17.87
1/14/2014 16:00:00,17.49
1/15/2014 16:00:00,17.39
1/16/2014 16:00:00,17.33
1/17/2014 16:00:00,16.96
1/21/2014 16:00:00,16.79
1/22/2014 16:00:00,16.74
1/23/2014 16:00:00,16.67
1/24/2014 16:00:00,16.67
1/27/2014 16:00:00,16.67
1/28/2014 16:00:00,16.69
1/29/2014 16:00:00,16.91
1/30/2014 16:00:00,17.26
1/31/2014 16:00:00,17.13
2/3/2014 16:00:00,17.06
2/4/2014 16:00:00,16.9
2/5/2014 16:00:00,16.89
2/6/2014 16:00:00,17.17
2/7/2014 16:00:00,19.64
2/10/2014 16:00:00,19.36
2/11/2014 16:00:00,19.37
2/12/2014 16:00:00,19.63
2/13/2014 16:00:00,19.77
2/14/2014 16:00:00,19.8
2/18/2014 16:00:00,19.94
2/19/2014 16:00:00,19.68
2/20/2014 16:00:00,19.63
2/21/2014 16:00:00,19.72
2/24/2014 16:00:00,19.69
2/25/2014 16:00:00,19.46
2/26/2014 16:00:00,19.44
2/27/2014 16:00:00,19.55
2/28/2014 16:00:00,19.35
3/3/2014 16:00:00,19.52
3/4/2014 16:00:00,19.71
3/5/2014 16:00:00,20.04
3/6/2014 16:00:00,20.17
3/7/2014 16:00:00,20.11
3/10/2014 16:00:00,20.29
3/11/2014 16:00:00,20.07
3/12/2014 16:00:00,20.6
3/13/2014 16:00:00,20.85
3/14/2014 16:00:00,21
3/17/2014 16:00:00,21.23
3/18/2014 16:00:00,21.1
3/19/2014 16:00:00,21.04
3/20/2014 16:00:00,20.92
3/21/2014 16:00:00,20.78
3/24/2014 16:00:00,20.49
3/25/2014 16:00:00,20.59
3/26/2014 16:00:00,20.59
3/27/2014 16:00:00,20.25
3/28/2014 16:00:00,20.45
3/31/2014 16:00:00,20.44
4/1/2014 16:00:00,20.69
4/2/2014 16:00:00,20.78
4/3/2014 16:00:00,20.24
4/4/2014 16:00:00,20.12
4/7/2014 16:00:00,19.43
4/8/2014 16:00:00,19.74
4/9/2014 16:00:00,19.84
4/10/2014 16:00:00,19.38
4/11/2014 16:00:00,19.04
4/14/2014 16:00:00,19.24
4/15/2014 16:00:00,19.07
4/16/2014 16:00:00,19.45
4/17/2014 16:00:00,19.69
4/21/2014 16:00:00,19.69
